"","V2_01","V2_02","V3_01","V3_02","V4_01","V4_02","V5_01","V5_02","V6_01","V6_02","V7_01","V7_02","V8_01","V8_02","V9_01","V9_02","V10_01","V10_02","V11_01","V11_02","V12_01","V12_02","V13_01","V13_02","V14_01","V14_02","V15_01","V15_02"
"11","bearing_degrees","30","coordinates","N0.83642 E37.56413","distance_meters","40","habitat_","mixed_shrubs_and_trees","how_many_animals_were_observed","40","livestock","shoat","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"12","approximate_age_of_individual","3","approximate_number_of_days_sinc","1","coordinates","N0.82991 E37.56109","habitat_","mixed_shrubs_and_trees","observers","TW2","sex_of_animal","female","species_","jackal","was_the_animal_observed_as_road","roadkill","width_of_the_road","single_lane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","bearing_degrees","230","coordinates","N0.77583 E37.55631","distance_meters","70","habitat_","seasonal_permanent_H2O_source","how_many_animals_were_observed","300","livestock","cattle","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"14","approximate_age_of_individual","2","approximate_number_of_days_sinc","7","coordinates","N0.72859 E37.59412","habitat_","acacia _reficiens_dominated","observers","TW2","sex_of_animal","can_not_tell","species_","bat_eared_fox","was_the_animal_observed_as_road","roadkill","width_of_the_road","single_lane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","bearing_degrees","30","coordinates","N0.70794 E37.61197","distance_meters","50","habitat_","open_scrub","how_many_animals_were_observed","54","livestock","shoat","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"16","bearing_degrees","120","coordinates","N0.68773 E37.63109","distance_meters","40","habitat_","open_scrub","how_many_animals_were_observed","5","livestock","cattle","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"17","bearing_degrees","20","coordinates","N0.67482 E37.63942","distance_meters","40","habitat_","open_scrub","how_many_animals_were_observed","45","livestock","cattle","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"18","bearing_degrees","340","coordinates","N0.66339 E37.64617","distance_meters","50","habitat_","disturbed_human_buildings","how_many_animals_were_observed","40","livestock","shoat","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"19","bearing_degrees","70","coordinates","N0.64341 E37.65154","distance_meters","40","habitat_","open_scrub","how_many_animals_were_observed","70","livestock","shoat","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"20","bearing_degrees","30","coordinates","N0.62708 E37.67400","distance_meters","100","how_many_animals_were_observed","70","livestock","shoat","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,NA,NA,NA
"21","bearing_degrees","350","coordinates","N0.60315 E37.67215","distance_meters","130","habitat_","open_scrub","how_many_animals_were_observed","3","observers","TW2","species_","elephant","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,NA,NA,NA
"22","bearing_degrees","320","coordinates","N0.59684 E37.67233","distance_meters","100","habitat_","seasonal_permanent_H2O_source","how_many_animals_were_observed","500","livestock","cattle","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"23","bearing_degrees","50","coordinates","N0.58676 E37.67417","distance_meters","230","habitat_","mixed_shrubs_and_trees","how_many_animals_were_observed","150","livestock","shoat","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
